Código Nacional,Código OMM,Código OACI,Nombre,Latitud,Longitud, Region
180005,85406,SCAR,Chacalluta Arica Ap.,-18.35555,-70.33889,XV
200006,85418,SCDA,Diego Aracena Iquique Ap.,-20.54917,-70.16944,I
220002,85432,SCCF,El Loa Calama Ad.,-22.49806,-68.89805,II
230001,85442,SCFA,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44056,II
270001,85469,SCIP,Mataveri Isla de Pascua Ap.,-27.15889,-109.42361,V
270008,85467,SCAT,Desierto de Atacama Caldera Ad.,-27.25444,-70.77944,III
290004,85488,SCSE,La Florida La Serena Ad.,-29.91444,-71.20333,VI
320041,85556,SCVM,Viña del Mar Ad. (Torquemada),-32.94944,-71.47444,V
320051,85539,,Los Libertadores,-32.84555,-70.11861,V
330007,85560,SCRD,Rodelillo Ad.,-33.06528,-71.55917,V
330019,85580,SCTB,Eulogio Sánchez Tobalaba Ad.,-33.45528,-70.54222,RM
330020,85577,SCQN,Quinta Normal Santiago,-33.44500,-70.67778,RM
330021,85574,SCEL,Pudahuel Santiago,-33.37833,-70.79639,RM
330030,85586,SCSN,Santo Domingo Ad.,-33.65611,-71.61000,V
330031,85585,,Juan Fernández Estación Meteorológica.,-33.63583,-78.83028,V
330066,85584,SCIR,La Punta Juan Fernández Ad.,-33.66639,-78.93194,V
330077,85594,,El Colorado,-33.35000,-70.28805,RM
330111,85571,,Lo Prado Cerro San Francisco,-33.45806,-70.94889,RM
330112,85593,,San José Guayacán,-33.61528,-70.35583,RM
330113,85569,,El Paico,-33.70639,-71.00000,RM
340031,85629,SCIC,General Freire Curicó Ad.,-34.96944,-71.22028,VII
360011,85672,SCCH,General Bernardo O'Higgins Chillán Ad.,-36.58583,-72.03389,XVI
360019,85682,SCIE,Carriel Sur Concepción Ap.,-36.78055,-73.05083,VII
360042,85671,,Termas de Chillán,-36.90361,-71.40667,XVI
370033,85703,SCGE,María Dolores Los Angeles Ad.,-37.39694,-72.42361,VIII
380013,85743,SCTC,Maquehue Temuco Ad.,-38.76778,-72.62694,IX
380029,85744,SCQP,La Araucanía Ad.,-38.93444,-72.66083,IX
390006,85766,SCVD,Pichoy Valdivia Ad.,-39.65667,-73.08472,XIV
400009,85782,SCJO,Cañal Bajo Osorno Ad.,-40.61444,-73.05083,X
410005,85799,SCTE,El Tepual Puerto Montt Ap.,-41.44750,-73.08472,X
420004,85830,SCTN,Chaitén Ad.,-42.93028,-72.71167,X
420014,85824,SCPQ,Mocopulli Ad.,-42.34667,-73.71167,X
430002,85832,SCFT,Futaleufú Ad.,-43.18889,-71.86417,X
430004,85836,SCAP,Alto Palena Ad.,-43.61167,-71.81333,X
430009,85837,SCMK,Melinka Ad.,-43.89778,-73.74555,XI
450001,85862,SCAS,Puerto Aysén Ad.,-45.39944,-72.67778,XI
450004,85864,SCCY,Teniente Vidal Coyhaique Ad.,-45.59083,-72.10167,XI
450005,85874,SCBA,Balmaceda Ad.,-45.91833,-71.67778,XI
460001,85886,SCCC,Chile Chico Ad.,-46.58500,-71.69472,XI
470001,85892,SCHR,Lord Cochrane Ad.,-47.24389,-72.57611,XI
510005,85920,SCNT,Teniente Gallardo Puerto Natales Ad.,-51.66722,-72.52528,XII
520006,85934,SCCI,Carlos Ibañez Punta Arenas Ap.,-53.00167,-70.84722,XII
530005,85940,SCFM,Fuentes Martínez Porvenir Ad.,-53.25361,-70.32194,XII
550001,85968,SCGZ, Guardiamarina Zañartu Pto Williams Ad.,-54.93167,-67.61000,XII
950001,89056,SCRM, C.M.A. Eduardo Frei Montalva Antártica,-62.19194,-58.98278,XII
950002,89057,SCBP, Base Antártica Arturo Prat,-62.47861,-59.66083,XII
950003,89059,SCBO, Base Antártica Bernardo O`Higgins,-63.32083,-57.89805,XII
